Open,High,Low,Close,Volume,Dividends,Stock Splits
370.76746068896693,371.4026946281754,365.2983481911379,366.0626220703125,21182100,0.0,0.0
365.49687341238314,368.69297460847696,363.60104649475284,368.1966857910156,23118900,0.0,0.0
366.4596673541622,371.680605008,365.4968658565483,371.45233154296875,20144800,0.0,0.0
365.74499115999953,368.8418283086429,363.3826517145165,368.5440368652344,27708800,0.0,0.0
368.09742890102524,371.6409383942837,367.71030907640403,371.6012268066406,24838300,0.0,0.0
373.22899443589563,374.83699548980223,368.01796236834986,371.59124755859375,30955500,0.0,0.0
370.5391560461205,370.9858281001623,361.4273005886206,363.21392822265625,43277500,0.0,0.0
364.12712629226513,369.6359202745136,363.56134974741,367.97833251953125,78478200,0.0,0.0
366.7078030867766,370.23144141816454,365.9434989554768,369.884033203125,21802900,0.0,0.0
368.73262032256434,370.489501953125,367.0948734411933,370.489501953125,20603700,0.0,0.0
372.2165740209788,373.23892766598055,367.7797512470062,367.86907958984375,26316700,0.0,0.0
369.7946886358752,371.6309631567769,367.2934041212111,370.7674255371094,17708000,0.0,0.0
370.906429775477,372.39529633394415,369.9436281893589,371.79974365234375,17091100,0.0,0.0
372.21659261542385,374.1421955445061,370.7277262449622,371.8791198730469,12673100,0.0,0.0
370.916333723745,372.2761602183441,370.042860570438,371.29351806640625,14905400,0.0,0.0
372.58386570662566,373.66577170460124,371.38285523783674,372.4945373535156,14327000,0.0,0.0
373.20915926606216,374.36055286042756,370.70787474172124,373.2488708496094,18723000,0.0,0.0
371.08504585690326,373.1099126361841,364.0476743294386,368.11724853515625,25258600,0.0,0.0
366.27107889368324,370.4895337976216,365.7747900814552,367.8492736816406,23083500,0.0,0.0
367.9187319779621,370.3306881427504,364.4447105700396,365.208984375,20901500,0.0,0.0
366.2313315373935,369.29839246247514,363.7796638327987,365.0203857421875,20987000,0.0,0.0
366.5588972016775,372.41512930069973,366.2710715059576,371.9089050292969,23134000,0.0,0.0
369.2487904298809,373.19922976065686,368.43486955500396,373.000732421875,20830000,0.0,0.0
373.5764038458174,381.31852683167966,373.52678708524746,379.92889404296875,25514200,0.0,0.0
383.1349730187258,387.78022915230946,377.5566914705678,381.775146484375,27850800,0.0,0.0
382.6287471140417,385.79507222848605,381.79498552621925,385.5866394042969,21645700,0.0,0.0
390.73808241855954,391.10533126591304,384.7429055281478,387.37322998046875,27202300,0.0,0.0
385.1002926080357,387.21445758579864,381.9538080881543,386.5792236328125,22234100,0.0,0.0
388.81246707723466,391.0656071412946,387.2243369881202,390.9465026855469,23392100,0.0,0.0
392.82250266388587,395.7109069824219,390.5792676975653,395.7109069824219,29272000,0.0,0.0
397.05088235950694,397.6464349802882,390.6686156338387,393.56695556640625,27016900,0.0,0.0
392.8125652438518,396.41562659537493,391.0060668337723,395.9391784667969,20525900,0.0,0.0
398.5596337147809,402.6192726240681,397.4777277230109,399.5720520019531,24867000,0.0,0.0
401.3189626275229,403.98899866258114,399.54224033001265,401.8648681640625,21021200,0.0,0.0
401.3685908061273,403.15524862311014,399.4429878794264,400.9318542480469,17803300,0.0,0.0
403.046026159944,406.9369433742504,401.32885614210204,406.6788635253906,24510200,0.0,0.0
409.2000238543599,409.98413829664423,403.43315080518414,405.5572509765625,33477600,0.0,0.0
403.9394119853898,412.2373773020663,394.2617794181789,394.6290283203125,47871100,0.0,0.0
398.8474510298594,404.97166826278436,398.8176749129533,400.7829895019531,30657700,0.0,0.0
400.812751597778,409.5871338016017,400.5646072018857,408.1677551269531,28245000,0.0,0.0
406.8575539393165,408.1082114138597,400.9914166630484,402.63909912109375,25352300,0.0,0.0
402.8674054523912,404.94188902369723,399.9194487371533,402.48028564453125,18382600,0.0,0.0
404.41582217019675,411.22489000694316,404.37611058446277,410.97674560546875,22340500,0.0,0.0
410.97676368228065,412.47556562625147,409.4680565597391,411.03631591796875,21225300,0.0,0.0
412.16784815401843,417.6965126525744,412.0090321031855,417.4284973144531,22032800,0.0,0.0
417.4384138139534,417.6170705038726,411.67154064674395,412.1777648925781,21202900,0.0,0.0
401.93437624738726,407.0263041880398,400.3958930819754,403.30413818359375,27824900,0.0,0.0
405.7901598689575,407.55026012610176,402.309714028661,407.20220947265625,20401200,0.75,0.0
405.8597944956463,406.844253795532,402.0312978280853,404.2886047363281,21825500,0.0,0.0
405.68075625644235,406.00892957095743,401.1860200084171,401.80255126953125,22281100,0.0,0.0
400.98714055150333,402.2301569631396,395.7863793073486,400.5396728515625,24307900,0.0,0.0
397.9342947827931,400.0424456526566,395.0007640638113,399.93304443359375,18631100,0.0,0.0
407.8982936101691,410.52352829586647,406.2873493160015,409.3501281738281,27009900,0.0,0.0
413.34772439674856,413.53663497455545,406.68514420153736,408.0474853515625,16295900,0.0,0.0
409.161235720491,409.8573370805174,405.0841356412257,405.2631530761719,16193500,0.0,0.0
405.7105907380705,406.03876405525716,401.5937362867828,405.2034606933594,14835800,0.0,0.0
405.8995296806421,407.01326749108915,403.0555227966133,405.4421081542969,13183100,0.0,0.0
406.35697513278876,411.8859094237676,403.6521703442677,411.32904052734375,31947300,0.0,0.0
408.97227149463464,413.54657789991296,408.58446615968444,413.17864990234375,17800300,0.0,0.0
411.13018628418007,415.0183454474983,410.0164483815882,412.6019287109375,17596000,0.0,0.0
411.64723066506053,411.9356189558388,398.4016714850462,400.4004211425781,26919200,0.0,0.0
400.71865529372803,402.8964224494763,396.16425656691945,399.84356689453125,22344100,0.0,0.0
403.8510703441805,407.49062617540716,399.9927424024294,406.8542175292969,18718500,0.0,0.0
